【テーブルA】評価セルマッピング										【テーブルB】グループ存在				【テーブルC】オプション選択				【テーブルD】メンテナンス状況						【テーブルE】カテゴリ調査状況				【テーブルF】項目調査実施状況							【テーブルG】資料値・実測値				【テーブルH】物件基本情報				【テーブルI】備考			【テーブルJ】定型写真				【テーブルK】不具合テンプレート							
itemId	aセル(V列)	b1セル(X列)	b2セル(W列)	cセル(Y列)	目視セル	計測セル	触診セル		項目名（参考）	groupKey	グループ名	有セル	無セル	optionKey	選択値名	セルアドレス	説明	maintId	要セル	不要セル	良好セル	特に問題無セル	説明	catId/groupId	実施セル	不可セル	不可理由セル	itemId	実施セル	不要セル	不可セル	不可理由セル	項目名		itemId	資料値セル	実測値セル	項目名	fieldKey	フィールド名	セルアドレス	説明	remarkKey	セルアドレス	説明	photoType	写真名	画像挿入先セル	備考	templateKey	シート名	場所セル(左)	部位セル(左)	劣化状況セル(左)	評価セル(左)	補修方法セル(左)	画像セル(左)
item67	W355	Y355	W356	Y356	S355	S356	S357		外部③ 建築物外部: 防水層					finish_main_concrete	コンクリート直仕上げ	D177	仕上材の種類																																								
item68	W358	Y358	W359	Y359	S358	S359	S360		外部③ 建築物外部: 排水勾配					finish_main_mortar	モルタル仕上げ・その他塗り仕上げ	D179	仕上材の種類																																								
item69	W361	Y361	W362	Y362	S361	S362	S363		外部③ 建築物外部: 排水溝よごれ					finish_main_other	その他仕上げ	D181	仕上材の種類																																								
item70	W364	Y364	W365	Y365	S364	S365	S366		外部③ 建築物外部: 排水溝堆積物																																																
item71	W367	Y367	W368	Y368	S367	S368	S369		外部③ 建築物外部: 床シーリング																																																
item72	W370	Y370	W371	Y371	S370	S371	S372		外部③ 建築物外部: 屋外階段支柱床																																																
item73	W373	Y373	W374	Y374	S373	S374	S375		外部③ 建築物外部: 階段裏側																																																
item74	W376	Y376	W377	Y377	S376	S377	S378		外部③ 建築物外部: 接合部金物																																																
item75	W396	Y396	W397	Y397	S396	S397	S398		外部④ 屋根及び屋上: 屋根劣化																																																
item76	W399	Y399	W400	Y400	S399	S400	S401		外部④ 屋根及び屋上: 屋根ふき材																																																
item77	W402	Y402	W403	Y403	S402	S403	S404		外部④ 屋根及び屋上: 緊結金物																																																
item78	W405	Y405	W406	Y406	S405	S406	S407		外部④ 屋根及び屋上: 軒樋																																																
item79	W408	Y408	W409	Y409	S408	S409	S410		外部④ 屋根及び屋上: アンテナ等																																																
item80	W411	Y411	W412	Y412	S411	S412	S413		外部④ 屋根及び屋上: 軒裏水染み																																																
item81	W414	Y414	W415	Y415	S414	S415	S416		外部④ 屋根及び屋上: 屋上面劣化																																																
item82	W417	Y417	W418	Y418	S417	S418	S419		外部④ 屋根及び屋上: ひび割れ反り																																																
item83	W420	Y420	W421	Y421	S420	S421	S422		外部④ 屋根及び屋上: 伸縮目地材																																																
item84	W423	Y423	W424	Y424	S423	S424	S425		外部④ 屋根及び屋上: 防水層劣化																																																
item85	W426	Y426	W427	Y427	S426	S427	S428		外部④ 屋根及び屋上: パラペット																																																
item86	W429	Y429	W430	Y430	S429	S430	S431		外部④ 屋根及び屋上: 金属笠木																																																
item87	W432	Y432	W433	Y433	S432	S433	S434		外部④ 屋根及び屋上: 手摺ぐらつき																																																
item88	W435	Y435	W436	Y436	S435	S436	S437		外部④ 屋根及び屋上: 笠木結合部																																																
item89	W438	Y438	W439	Y439	S438	S439	S440		外部④ 屋根及び屋上: 排水溝ドレーン																																																
item90	W441	Y441	W442	Y442	S441	S442	S443		外部④ 屋根及び屋上: 水たまり																																																
item91	W444	Y444	W445	Y445	S444	S445	S446		外部④ 屋根及び屋上: 架台支持部																																																
item92	W464	Y464	W465	Y465	S465				外部⑤ 共用部（管理状況）: 内装・郵便受け																																																
item93	W467	Y467	W468	Y468	S468				外部⑤ 共用部（管理状況）: 共用廊下・ごみ置場																																																
item94	W470	Y470	W471	Y471	S471				外部⑤ 共用部（管理状況）: 駐輪場・駐車場																																																
item95									鉄筋・シュミットハンマー: 鉄筋確認																																																
item96									鉄筋・シュミットハンマー: シュミットハンマー																																																
item97			X489						その他 違法性関係: 構造荷重計算不適合																																																
item98			X492						その他 違法性関係: 地震倒壊懸念																																																
item99			X495						その他 違法性関係: 用途不整合																																																
item100			X498						その他 違法性関係: 形状不整合																																																
item101			X501						その他 違法性関係: 実測値不整合																																																

